"Year","Yearly_Ranking","Title","Studio","Total_Gross","Number_of_Theaters","Opening_Gross","Number_of_Opening_Theaters","Open_Date","End_Date","Running.time","Genre","Rating","Open_Month","End_Month","Playing_day","Running.length","Gross_level","Ranking"
"2015","35","Alvin and the Chipmunks: The Road Chip","Fox",85886987,3705,14287159,3653,"12/18","5/19",86,"Family Comedy","PG","Dec",5,153,"short","0","4"
"2015","36","Maze Runner: The Scorch Trials","Fox",81697192,3792,30316510,3791,"9/18","1/21",131,"Action / Adventure","PG-13","Sep",1,125,"long","0","4"
"2015","37","Ted 2","Uni.",81476385,3448,33507870,3442,"6/26","8/27",115,"Comedy","R","Jun",8,62,"medium","0","4"
"2015","38","Goosebumps","Sony",80080379,3618,23618556,3501,"10/16","2/18",103,"Horror Comedy","PG","Oct",2,125,"medium","0","4"
"2015","39","Pixels","Sony",78747585,3723,24011616,3723,"7/24","11/8",105,"Action Comedy","PG-13","Jul",11,107,"medium","0","4"
"2015","40","Paddington","W/Dim.",76271832,3355,18966676,3303,"1/16","6/18",95,"Family","PG","Jan",6,153,"medium","0","4"
"2015","41","The Intern","WB",75764672,3320,17728313,3305,"9/25","1/7",121,"Comedy","PG-13","Sep",1,104,"long","0","5"
"2015","42","Bridge of Spies","BV",72313754,2873,15371203,2811,"10/16","3/10",140,"Thriller","PG-13","Oct",3,146,"long","0","5"
"2015","43","Paul Blart: Mall Cop 2","Sony",71038190,3633,23762435,3633,"4/17","8/2",94,"Comedy","PG","Apr",8,107,"medium","0","5"
"2015","44","The Big Short","Par.",70259870,2529,705527,8,"12/11","4/7",130,"Drama","R","Dec",4,118,"long","0","5"
"2015","45","War Room","TriS",67790117,1945,11351389,1135,"8/28","12/13",120,"Drama","PG","Aug",12,107,"long","0","5"
"2015","46","Magic Mike XXL","WB",66013057,3376,12857184,3355,"7/1","9/24",115,"Comedy / Drama","R","Jul",9,85,"medium","0","5"
"2015","47","The Visit","Uni.",65206105,3148,25427560,3069,"9/11","11/26",94,"Horror","PG-13","Sep",11,76,"medium","0","5"
"2015","48","The Wedding Ringer","SGem",64460211,3003,20649306,3003,"1/16","4/5",101,"Comedy","R","Jan",4,79,"medium","0","5"
"2015","49","Black Mass","WB",62575678,3188,22635037,3188,"9/18","12/3",122,"Crime Drama","R","Sep",12,76,"long","0","5"
"2015","50","Vacation","WB",58884188,3430,14681108,3411,"7/29","10/29",99,"Comedy","R","Jul",10,92,"medium","0","5"
"2015","51","The Perfect Guy","SGem",57027435,2230,25888154,2221,"9/11","12/3",100,"Thriller","PG-13","Sep",12,83,"medium","0","6"
"2015","52","Joy","Fox",56451232,2924,17015168,2896,"12/25","3/17",124,"Comedy / Drama","PG-13","Dec",3,83,"long","0","6"
"2015","53","Fantastic Four","Fox",56117548,4004,25685737,3995,"8/7","10/22",100,"Action / Adventure","PG-13","Aug",10,76,"medium","0","6"
"2015","54","The Hateful Eight","Wein.",54117416,2938,4610676,100,"12/25","4/28",167,"Western","R","Dec",4,125,"long","0","6"
"2015","55","Focus (2015)","WB",53862963,3323,18685137,3323,"2/27","5/7",104,"Comedy","R","Feb",5,69,"medium","0","6"
"2015","56","Southpaw","Wein.",52421953,2772,16701294,2772,"7/24","11/5",123,"Drama","R","Jul",11,104,"long","0","6"
"2015","57","Insidious Chapter 3","Focus",52218558,3014,22692741,3002,"6/5","8/13",97,"Horror","PG-13","Jun",8,69,"medium","0","6"
